,project,chain,symbol,tvlUsd,apy,apyMean30d
643,morpho-v1,Polygon,WETH,361357,0.0,0.0
647,morpho-v1,Ethereum,WBTC,342271,0.0,0.0
650,compound-v3,Ethereum,WBTC,313041,0.0,0.0
658,compound-v3,Ethereum,USDT,291000,0.0,0.0
661,morpho-v1,Arbitrum,WETH,286214,0.0,0.0
663,morpho-v1,Base,RETH,278201,0.0,0.0
666,compound-v3,Optimism,RETH,271987,0.0,0.0
667,morpho-v1,Ethereum,WBTC,271767,0.0,0.0
670,morpho-v1,Ethereum,WBTC,268953,0.0,0.0
672,compound-v3,Polygon,WETH,262967,0.0,0.0
675,morpho-v1,Ethereum,WEETH,255645,0.0,0.0
679,compound-v3,Polygon,USDT,252526,3.0746,2.9848
688,compound-v3,Optimism,WSTETH,234705,0.0,0.0
700,morpho-v1,Ethereum,WETH,210795,0.0,0.0
722,morpho-v1,Base,LBTC,164603,0.0,0.0
724,morpho-v1,Arbitrum,WETH,160697,0.0,0.0
734,morpho-v1,Ethereum,LBTC,153803,0.0,0.0
736,morpho-v1,Ethereum,LBTC,151866,0.0,0.0
737,morpho-v1,Ethereum,CBBTC,150596,0.0,0.0
741,morpho-v1,Base,WEETH,145919,0.0,0.0
747,compound-v3,Arbitrum,RSETH,137767,0.0,0.0
756,aave-v3,Ethereum,USDS,121951,2.03709,2.18157
765,morpho-v1,Base,GTUSDCP,111562,5.51387,5.59731
773,morpho-v1,Ethereum,GTUSDCP,101728,3.36625,4.13131
789,compound-v3,Arbitrum,USDC,93913,3.26763,3.10089
793,morpho-v1,Base,WETH,86828,0.0,0.0
797,compound-v3,Base,CBBTC,83560,0.0,0.0
799,aave-v3,Ethereum,WEETH,82089,0.0,0.0
808,compound-v3,Base,WSTETH,66791,0.0,0.0
810,compound-v3,Arbitrum,WETH,65917,0.0,0.0
812,morpho-v1,Polygon,WBTC,64602,0.0,0.0
813,morpho-v1,Arbitrum,STEAKUSDC,64074,3.82759,4.03847
814,morpho-v1,Ethereum,WBTC,63898,0.0,0.0
